Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0201,3,2u2,
"C10, C9",0201,2,0.1uf,
"C11, C18, C19",0201,3,10 uf,
C12,0201,1,0.1 uf,
"C13, C14",0201,2,100 nf,
"C15, C16, C17",0201,3,100 n,
"C20, C21",0201,2,12pf,
"C22, C23, C24, C25, C26, C27",0201,6,100 pf,
"C4, C6",0201,2,100n,
C5,0201,1,22u,
"C7, C8",0201,2,10uf,
"D1, D3",0201,2,LED,
D2,0201,1,D,
F1,0201,1,Polyfuse,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
"J11, J12, J3, J5",JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,4,Conn_01x03_Pin,
J13,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J2,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02_Pin,
"J4, J6",AMASS_XT60-F_1x02_P7.20mm_Vertical,2,Conn_01x02_Pin,
Q1,SOT-23,1,AO3401A,
"R1, R2",0201,2,33 R,
"R3, R4",0201,2,50K,
R5,0603,1,100R,
"R6, R7",0201,2,1K,
SW1,SW_PUSH_E-Switch_FS5700DP_DPDT,1,SW_DPDT_x2,
SW2,SW_Tactile_Straight_KSA0Axx1LFTR,1,SW_Push,
U1,TSOT-23-6,1,AP63203WU,
U2,TO-252-2,1,L7805,
U3,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U4,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U5,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U6,SOT-23-5,1,LD39015M18R,
U7,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F401CBUx,
Y1,Crystal_SMD_0603-4Pin_6.0x3.5mm,1,Crystal_GND24_Small,
